id,region,departement,centre_vote,bureau_vote,type_vote
1,Dakar,Dakar-Plateau,Centre de Vote Dakar-Plateau 1,BV-DAK-01-01,National
2,Dakar,Dakar-Plateau,Centre de Vote Dakar-Plateau 1,BV-DAK-01-02,National
3,Dakar,Dakar-Plateau,Centre de Vote Dakar-Plateau 2,BV-DAK-02-01,National
4,Dakar,Dakar-Plateau,Centre de Vote Dakar-Plateau 2,BV-DAK-02-02,National
5,Dakar,Dakar-Plateau,Centre de Vote Dakar-Plateau 3,BV-DAK-03-01,National
6,Dakar,Dakar-Plateau,Centre de Vote Dakar-Plateau 3,BV-DAK-03-02,National
7,Dakar,Dakar-Plateau,Centre de Vote Dakar-Plateau 4,BV-DAK-04-01,National
8,Dakar,Dakar-Plateau,Centre de Vote Dakar-Plateau 4,BV-DAK-04-02,National
9,Dakar,Dakar-Plateau,Centre de Vote Dakar-Plateau 5,BV-DAK-05-01,National
10,Dakar,Dakar-Plateau,Centre de Vote Dakar-Plateau 5,BV-DAK-05-02,National
11,Dakar,Grand-Dakar,Centre de Vote Grand-Dakar 1,BV-GRA-01-01,National
12,Dakar,Grand-Dakar,Centre de Vote Grand-Dakar 1,BV-GRA-01-02,National
13,Dakar,Grand-Dakar,Centre de Vote Grand-Dakar 2,BV-GRA-02-01,National
14,Dakar,Grand-Dakar,Centre de Vote Grand-Dakar 2,BV-GRA-02-02,National
15,Dakar,Grand-Dakar,Centre de Vote Grand-Dakar 3,BV-GRA-03-01,National
16,Dakar,Grand-Dakar,Centre de Vote Grand-Dakar 3,BV-GRA-03-02,National
17,Dakar,Grand-Dakar,Centre de Vote Grand-Dakar 4,BV-GRA-04-01,National
18,Dakar,Grand-Dakar,Centre de Vote Grand-Dakar 4,BV-GRA-04-02,National
19,Dakar,Grand-Dakar,Centre de Vote Grand-Dakar 5,BV-GRA-05-01,National
20,Dakar,Grand-Dakar,Centre de Vote Grand-Dakar 5,BV-GRA-05-02,National
21,Dakar,Parcelles-Assainies,Centre de Vote Parcelles-Assainies 1,BV-PAR-01-01,National
22,Dakar,Parcelles-Assainies,Centre de Vote Parcelles-Assainies 1,BV-PAR-01-02,National
23,Dakar,Parcelles-Assainies,Centre de Vote Parcelles-Assainies 2,BV-PAR-02-01,National
24,Dakar,Parcelles-Assainies,Centre de Vote Parcelles-Assainies 2,BV-PAR-02-02,National
25,Dakar,Parcelles-Assainies,Centre de Vote Parcelles-Assainies 3,BV-PAR-03-01,National
26,Dakar,Parcelles-Assainies,Centre de Vote Parcelles-Assainies 3,BV-PAR-03-02,National
27,Dakar,Parcelles-Assainies,Centre de Vote Parcelles-Assainies 4,BV-PAR-04-01,National
28,Dakar,Parcelles-Assainies,Centre de Vote Parcelles-Assainies 4,BV-PAR-04-02,National
29,Dakar,Parcelles-Assainies,Centre de Vote Parcelles-Assainies 5,BV-PAR-05-01,National
30,Dakar,Parcelles-Assainies,Centre de Vote Parcelles-Assainies 5,BV-PAR-05-02,National
31,Dakar,Pikine,Centre de Vote Pikine 1,BV-PIK-01-01,National
32,Dakar,Pikine,Centre de Vote Pikine 1,BV-PIK-01-02,National
33,Dakar,Pikine,Centre de Vote Pikine 2,BV-PIK-02-01,National
34,Dakar,Pikine,Centre de Vote Pikine 2,BV-PIK-02-02,National
35,Dakar,Pikine,Centre de Vote Pikine 3,BV-PIK-03-01,National
36,Dakar,Pikine,Centre de Vote Pikine 3,BV-PIK-03-02,National
37,Dakar,Pikine,Centre de Vote Pikine 4,BV-PIK-04-01,National
38,Dakar,Pikine,Centre de Vote Pikine 4,BV-PIK-04-02,National
39,Dakar,Pikine,Centre de Vote Pikine 5,BV-PIK-05-01,National
40,Dakar,Pikine,Centre de Vote Pikine 5,BV-PIK-05-02,National
41,Dakar,Guédiawaye,Centre de Vote Guédiawaye 1,BV-GUÉ-01-01,National
42,Dakar,Guédiawaye,Centre de Vote Guédiawaye 1,BV-GUÉ-01-02,National
43,Dakar,Guédiawaye,Centre de Vote Guédiawaye 2,BV-GUÉ-02-01,National
44,Dakar,Guédiawaye,Centre de Vote Guédiawaye 2,BV-GUÉ-02-02,National
45,Dakar,Guédiawaye,Centre de Vote Guédiawaye 3,BV-GUÉ-03-01,National
46,Dakar,Guédiawaye,Centre de Vote Guédiawaye 3,BV-GUÉ-03-02,National
47,Dakar,Guédiawaye,Centre de Vote Guédiawaye 4,BV-GUÉ-04-01,National
48,Dakar,Guédiawaye,Centre de Vote Guédiawaye 4,BV-GUÉ-04-02,National
49,Dakar,Guédiawaye,Centre de Vote Guédiawaye 5,BV-GUÉ-05-01,National
50,Dakar,Guédiawaye,Centre de Vote Guédiawaye 5,BV-GUÉ-05-02,National
51,Dakar,Rufisque,Centre de Vote Rufisque 1,BV-RUF-01-01,National
52,Dakar,Rufisque,Centre de Vote Rufisque 1,BV-RUF-01-02,National
53,Dakar,Rufisque,Centre de Vote Rufisque 2,BV-RUF-02-01,National
54,Dakar,Rufisque,Centre de Vote Rufisque 2,BV-RUF-02-02,National
55,Dakar,Rufisque,Centre de Vote Rufisque 3,BV-RUF-03-01,National
56,Dakar,Rufisque,Centre de Vote Rufisque 3,BV-RUF-03-02,National
57,Dakar,Rufisque,Centre de Vote Rufisque 4,BV-RUF-04-01,National
58,Dakar,Rufisque,Centre de Vote Rufisque 4,BV-RUF-04-02,National
59,Dakar,Rufisque,Centre de Vote Rufisque 5,BV-RUF-05-01,National
60,Dakar,Rufisque,Centre de Vote Rufisque 5,BV-RUF-05-02,National
61,Thiès,Thiès-Ville,Centre de Vote Thiès-Ville 1,BV-THI-01-01,National
62,Thiès,Thiès-Ville,Centre de Vote Thiès-Ville 1,BV-THI-01-02,National
63,Thiès,Thiès-Ville,Centre de Vote Thiès-Ville 2,BV-THI-02-01,National
64,Thiès,Thiès-Ville,Centre de Vote Thiès-Ville 2,BV-THI-02-02,National
65,Thiès,Thiès-Ville,Centre de Vote Thiès-Ville 3,BV-THI-03-01,National
66,Thiès,Thiès-Ville,Centre de Vote Thiès-Ville 3,BV-THI-03-02,National
67,Thiès,Thiès-Ville,Centre de Vote Thiès-Ville 4,BV-THI-04-01,National
68,Thiès,Thiès-Ville,Centre de Vote Thiès-Ville 4,BV-THI-04-02,National
69,Thiès,Thiès-Ville,Centre de Vote Thiès-Ville 5,BV-THI-05-01,National
70,Thiès,Thiès-Ville,Centre de Vote Thiès-Ville 5,BV-THI-05-02,National
71,Thiès,Mbour,Centre de Vote Mbour 1,BV-MBO-01-01,National
72,Thiès,Mbour,Centre de Vote Mbour 1,BV-MBO-01-02,National
73,Thiès,Mbour,Centre de Vote Mbour 2,BV-MBO-02-01,National
74,Thiès,Mbour,Centre de Vote Mbour 2,BV-MBO-02-02,National
75,Thiès,Mbour,Centre de Vote Mbour 3,BV-MBO-03-01,National
76,Thiès,Mbour,Centre de Vote Mbour 3,BV-MBO-03-02,National
77,Thiès,Mbour,Centre de Vote Mbour 4,BV-MBO-04-01,National
78,Thiès,Mbour,Centre de Vote Mbour 4,BV-MBO-04-02,National
79,Thiès,Mbour,Centre de Vote Mbour 5,BV-MBO-05-01,National
80,Thiès,Mbour,Centre de Vote Mbour 5,BV-MBO-05-02,National
81,Thiès,Tivaouane,Centre de Vote Tivaouane 1,BV-TIV-01-01,National
82,Thiès,Tivaouane,Centre de Vote Tivaouane 1,BV-TIV-01-02,National
83,Thiès,Tivaouane,Centre de Vote Tivaouane 2,BV-TIV-02-01,National
84,Thiès,Tivaouane,Centre de Vote Tivaouane 2,BV-TIV-02-02,National
85,Thiès,Tivaouane,Centre de Vote Tivaouane 3,BV-TIV-03-01,National
